,GAME_ID,TEAM_ID,TEAM_NAME,TEAM_ABBREVIATION,TEAM_CITY,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS
0,0021800944,1610612757,Trail Blazers,POR,Portland,240:00,43,96,0.448,11,32,0.344,21,23,0.913,13,35,48,26,9,3,11,23,118,10.0
1,0021800944,1610612766,Hornets,CHA,Charlotte,240:00,37,83,0.446,14,33,0.424,20,23,0.87,4,31,35,25,7,5,12,21,108,-10.0
