,GAME_ID,TEAM_ID,TEAM_NAME,TEAM_ABBREVIATION,TEAM_CITY,MIN,E_OFF_RATING,OFF_RATING,E_DEF_RATING,DEF_RATING,E_NET_RATING,NET_RATING,AST_PCT,AST_TOV,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,E_TM_TOV_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,USG_PCT,E_USG_PCT,E_PACE,PACE,PACE_PER40,POSS,PIE
0,0021800165,1610612757,Trail Blazers,POR,Portland,240:00,113.4,119.6,107.4,107.1,6.0,12.4,0.45,2.57,13.4,0.362,0.8,0.565,6.841,7.2,0.464,0.531,1.0,0.199,100.06,97.5,81.25,97,0.541
1,0021800165,1610612746,Clippers,LAC,LA,240:00,107.4,107.1,113.4,119.6,-6.0,-12.4,0.463,2.71,15.3,0.2,0.638,0.435,7.157,7.1,0.506,0.537,1.0,0.2,100.06,97.5,81.25,98,0.459
