,GAME_ID,TEAM_ID,TEAM_NAME,TEAM_ABBREVIATION,TEAM_CITY,MIN,EFG_PCT,FTA_RATE,TM_TOV_PCT,OREB_PCT,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT
0,0021800720,1610612764,Wizards,WAS,Washington,240:00,0.538,0.152,0.131,0.111,0.494,0.143,0.173,0.298
1,0021800720,1610612753,Magic,ORL,Orlando,240:00,0.494,0.143,0.173,0.277,0.538,0.152,0.131,0.133
0,0021800721,1610612752,Knicks,NYK,New York,240:00,0.471,0.299,0.08,0.118,0.458,0.56,0.187,0.474
1,0021800721,1610612751,Nets,BKN,Brooklyn,240:00,0.458,0.56,0.187,0.316,0.471,0.299,0.08,0.157
0,0021800722,1610612748,Heat,MIA,Miami,240:00,0.525,0.316,0.151,0.239,0.494,0.153,0.137,0.235
1,0021800722,1610612739,Cavaliers,CLE,Cleveland,240:00,0.494,0.153,0.137,0.176,0.525,0.316,0.151,0.283
0,0021800723,1610612746,Clippers,LAC,LA,240:00,0.512,0.354,0.151,0.104,0.441,0.118,0.104,0.254
1,0021800723,1610612741,Bulls,CHI,Chicago,240:00,0.441,0.118,0.104,0.19,0.512,0.354,0.151,0.208
0,0021800724,1610612761,Raptors,TOR,Toronto,240:00,0.56,0.198,0.195,0.25,0.505,0.363,0.114,0.34
1,0021800724,1610612745,Rockets,HOU,Houston,240:00,0.505,0.363,0.114,0.226,0.56,0.198,0.195,0.396
0,0021800725,1610612758,Kings,SAC,Sacramento,240:00,0.473,0.187,0.18,0.214,0.463,0.338,0.162,0.213
1,0021800725,1610612763,Grizzlies,MEM,Memphis,240:00,0.463,0.338,0.162,0.191,0.473,0.187,0.18,0.321
0,0021800726,1610612765,Pistons,DET,Detroit,240:00,0.482,0.294,0.135,0.25,0.543,0.37,0.105,0.25
1,0021800726,1610612742,Mavericks,DAL,Dallas,240:00,0.543,0.37,0.105,0.188,0.482,0.294,0.135,0.327
0,0021800727,1610612749,Bucks,MIL,Milwaukee,240:00,0.494,0.258,0.114,0.118,0.456,0.278,0.16,0.241
1,0021800727,1610612766,Hornets,CHA,Charlotte,240:00,0.456,0.278,0.16,0.207,0.494,0.258,0.114,0.157
